English,French,Italian,Spanish
"['_th', 29132]","['es_', 25226]","['to_', 15363]","['_de', 26725]"
"['the', 22026]","['_de', 21457]","['_di', 13916]","['os_', 20270]"
"['he_', 19224]","['de_', 15362]","['_de', 13619]","['de_', 18977]"
"['ion', 10821]","['nt_', 14837]","['ion', 13045]","['_la', 15530]"
"['on_', 10171]","['ent', 14730]","['re_', 12592]","['as_', 12321]"
"['_to', 9595]","['ion', 13032]","['ne_', 11723]","['la_', 12020]"
"['_of', 9497]","['_le', 11910]","['ent', 11557]","['es_', 11821]"
"['of_', 9216]","['on_', 11159]","['_co', 11221]","['que', 11146]"
"['_in', 9114]","['le_', 10573]","['la_', 11105]","['_qu', 11026]"
"['to_', 9063]","['_qu', 10283]","['di_', 10969]","['ent', 10946]"
"['_an', 8589]","['que', 9984]","['one', 10036]","['ue_', 10676]"
"['nd_', 8434]","['re_', 9926]","['le_', 9745]","['_n_', 10547]"
"['is_', 8046]","['ns_', 9634]","['_in', 8871]","['_co', 10367]"
"['and', 7722]","['la_', 9524]","['del', 8853]","['el_', 9837]"
"['ent', 7646]","['_la', 9404]","['ell', 8395]","['en_', 9684]"
"['ed_', 6860]","['_co', 8793]","['che', 8307]","['_en', 9097]"
"['ing', 6705]","['tio', 8438]","['he_', 8234]","['nte', 8730]"
"['tio', 6686]","['men', 8141]","['zio', 8157]","['_es', 8477]"
"['ng_', 6588]","['ons', 8075]","['te_', 7970]","['_a_', 7948]"
"['in_', 6450]","['ue_', 7862]","['ti_', 7539]","['te_', 7711]"
"['_co', 6240]","['et_', 7458]","['nte', 7392]","['est', 7694]"
"['re_', 6085]","['les', 7396]","['_pr', 7373]","['_el', 7256]"
"['es_', 6076]","['ne_', 6947]","['men', 7216]","['do_', 7197]"
"['at_', 5991]","['ur_', 6506]","['_ch', 7140]","['_lo', 6889]"
"['_re', 5863]","['_pr', 6483]","['con', 6828]","['_se', 6828]"
"['nt_', 5736]","['_et', 6450]","['no_', 6645]","['con', 6748]"
"['er_', 5347]","['us_', 6446]","['_e_', 6387]","['_y_', 6442]"
"['_be', 5250]","['er_', 6254]","['per', 6045]","['_pr', 6117]"
"['hat', 4906]","['_pa', 6179]","['lla', 5893]","['_re', 5904]"
"['al_', 4812]","['_l', 6084]","['_la', 5741]","['ar_', 5882]"
"['_is', 4809]","['eme', 6072]","['azi', 5681]","['aci', 5821]"
"['men', 4797]","['ati', 5817]","['are', 5661]","['to_', 5755]"
"['ati', 4631]","['_po', 5621]","['_un', 5594]","['ra_', 5651]"
"['for', 4581]","['des', 5572]","['li_', 5491]","['ci_', 5632]"
"['tha', 4527]","['_ce', 5538]","['_pe', 5451]","['men', 5492]"
"['_pr', 4409]","['_en', 5394]","['_qu', 5349]","['los', 5485]"
"['_a_', 4212]","['con', 5287]","['_al', 5232]","['_un', 5394]"
"['ly_', 4084]","['en_', 5183]","['ta_', 5091]","['res', 5329]"
"['ve_', 4053]","['ce_', 5093]","['_ri', 4865]","['_po', 5313]"
"['or_', 3944]","['eur', 5066]","['nto', 4819]","['ado', 4997]"
"['_wh', 3942]","['_no', 4953]","['er_', 4704]","['or_', 4996]"
"['an_', 3829]","['ous', 4838]","['pro', 4629]","['sta', 4726]"
"['_fo', 3811]","['our', 4683]","['in_', 4495]","['se_', 4714]"
"['_ha', 3727]","['te_', 4667]","['est', 4286]","['_pa', 4574]"
"['_wi', 3719]","['_au', 4563]","['io_', 4252]","['al_', 4456]"
"['thi', 3705]","['_un', 4551]","['ssi', 4204]","['_in', 4209]"
"['as_', 3694]","['est', 4487]","['_no', 4174]","['cia', 4196]"
"['res', 3677]","['_d', 4388]","['ato', 4162]","['par', 3904]"
"['his', 3500]","['omm', 4043]","['_si', 4160]","['_ha', 3877]"
"['pro', 3448]","['ont', 3976]","['ame', 4153]","['las', 3865]"
"['_on', 3295]","['is_', 3944]","['ere', 4148]","['nci', 3841]"
"['con', 3292]","['tre', 3940]","['ni_', 4127]","['nto', 3820]"
"['ate', 3204]","['ant', 3841]","['on_', 4103]","['por', 3639]"
"['_we', 3179]","['par', 3781]","['_il', 4046]","['pro', 3615]"
"['ll_', 3168]","['_so', 3768]","['il_', 3982]","['ien', 3579]"
"['ons', 3069]","['pro', 3740]","['_po', 3811]","['er_', 3579]"
"['se_', 3064]","['me_', 3691]","['si_', 3800]","['ta_', 3573]"
"['st_', 3063]","['ire', 3684]","['el_', 3675]","['ion', 3566]"
"['_Co', 3042]","['res', 3684]","['ett', 3664]","['no_', 3533]"
"['her', 3038]","['it_', 3630]","['ono', 3658]","['ida', 3511]"
"['ts_', 3020]","['té_', 3625]","['ess', 3624]","['tra', 3503]"
"['ch_', 2981]","['lle', 3418]","['ati', 3620]","['_no', 3409]"
"['nan', 2900]","['ans', 3418]","['res', 3595]","['ica', 3406]"
"['omm', 2887]","['_dé', 3364]","['ia_', 3576]","['ia_', 3391]"
"['en_', 2879]","['ts_', 3361]","['sta', 3553]","['mos', 3377]"
"['ere', 2870]","['_re', 3212]","['_so', 3508]","['na_', 3319]"
"['_no', 2852]","['pou', 3212]","['all', 3508]","['dad', 3275]"
"['are', 2839]","['ssi', 3203]","['ro_', 3488]","['del', 3212]"
"['le_', 2779]","['une', 3191]","['ter', 3477]","['one', 3195]"
"['rop', 2685]","['nou', 3182]","['que', 3473]","['com', 3190]"
"['sio', 2676]","['st_', 3168]","['_ne', 3465]","['cio', 3158]"
"['ns_', 2610]","['nce', 3136]","['rop', 3427]","['lo_', 3011]"
"['be_', 2595]","['_su', 3080]","['_a_', 3380]","['on_', 3009]"
"['ope', 2581]","['com', 3031]","['gli', 3360]","['una', 2981]"
"['ter', 2545]","['ui_', 3012]","['ra_', 3355]","['_Co', 2969]"
"['_de', 2542]","['_se', 3005]","['_re', 3318]","['ame', 2962]"
"['_ar', 2530]","['iss', 2995]","['lle', 3316]","['ara', 2944]"
"['ssi', 2526]","['iqu', 2991]","['ll', 3297]","['ant', 2915]"
"['_it', 2522]","['_tr', 2974]","['nti', 3242]","['si_', 2841]"
"['_ma', 2508]","['rop', 2954]","['tat', 3237]","['nes', 2782]"
"['_Th', 2505]","['dan', 2869]","['com', 3225]","['pre', 2752]"
"['ld_', 2447]","['_ré', 2852]","['pre', 3209]","['rop', 2739]"
"['ce_', 2441]","['_du', 2851]","['ali', 3203]","['_al', 2732]"
"['iti', 2436]","['un_', 2845]","['mo_', 3198]","['ro_', 2712]"
"['we_', 2405]","['qui', 2830]","['ost', 3186]","['nta', 2712]"
"['rea', 2404]","['sio', 2824]","['ica', 3186]","['rec', 2705]"
"['ort', 2373]","['du_', 2805]","['att', 3180]","['an_', 2694]"
"['all', 2370]","['_in', 2792]","['_se', 3172]","['dos', 2689]"
"['ive', 2362]","['_ma', 2788]","['ale', 3158]","['_di', 2640]"
"['ty_', 2322]","['nte', 2771]","['ri_', 3133]","['mis', 2598]"
"['nce', 2316]","['rs_', 2725]","['_su', 3120]","['ues', 2587]"
"['ver', 2281]","['ité', 2663]","['sio', 3098]","['da_', 2583]"
"['_al', 2276]","['se_', 2639]","['tti', 3018]","['enc', 2580]"
"['not', 2272]","['_da', 2623]","['tto', 3015]","['_si', 2579]"
"['_as', 2262]","['il_', 2607]","['tra', 2990]","['un_', 2555]"
"['ide', 2250]","['ux_', 2594]","['_da', 2959]","['des', 2502]"
"['ect', 2223]","['ais', 2588]","['_Co', 2911]","['era', 2496]"
"['com', 2208]","['_es', 2529]","['str', 2882]","['_so', 2471]"
"['te_', 2186]","['ell', 2525]","['_pa', 2871]","['isi', 2455]"
"['iss', 2184]","['ait', 2524]","['ant', 2869]","['ste', 2420]"
"['it_', 2182]","['air', 2523]","['l', 2854]","['_su', 2420]"
"['mmi', 2168]","['ien', 2519]","['_le', 2853]","['ten', 2417]"
"['Com', 2164]","['rai', 2512]","['na_', 2852]","['ad_', 2396]"
"['eve', 2162]","['ort', 2507]","['ari', 2843]","['_me', 2376]"
"['ith', 2136]","['iti', 2503]","['do_', 2830]","['ici', 2336]"
"['hic', 2136]","['ter', 2499]","['ei_', 2777]","['ter', 2319]"
"['our', 2125]","['mis', 2491]","['ues', 2760]","['per', 2308]"
"['_po', 2121]","['_me', 2448]","['tiv', 2743]","['re_', 2289]"
"['th_', 2111]","['_vo', 2437]","['_l', 2695]","['str', 2284]"
"['whi', 2110]","['_Co', 2364]","['oni', 2660]","['les', 2270]"
"['oul', 2106]","['lem', 2358]","['un_', 2652]","['uro', 2260]"
"['ot_', 2094]","['_di', 2342]","['iam', 2616]","['tar', 2199]"
"['uld', 2085]","['_fa', 2328]","['nan', 2613]","['tad', 2197]"
"['ich', 2064]","['sur', 2328]","['za_', 2587]","['_pe', 2192]"
"['wit', 2014]","['nne', 2305]","['_es', 2555]","['omi', 2177]"
"['me_', 1993]","['au_', 2298]","['non', 2543]","['tiv', 2123]"
"['ave', 1980]","['rés', 2282]","['enz', 2500]","['_cu', 2111]"
"['uro', 1961]","['ale', 2220]","['pos', 2499]","['tic', 2090]"
"['hav', 1956]","['_do', 2208]","['mmi', 2499]","['Com', 2082]"
"['ut_', 1940]","['as_', 2195]","['ma_', 2465]","['io_', 2069]"
"['Eur', 1936]","['ntr', 2156]","['lo_', 2458]","['mo_', 2060]"
"['_Eu', 1932]","['mme', 2144]","['mis', 2442]","['_mi', 2059]"
"['ess', 1921]","['tra', 2104]","['ont', 2424]","['ons', 2035]"
"['rs_', 1919]","['pas', 2084]","['esi', 2409]","['pue', 2002]"
"['_st', 1915]","['uro', 2076]","['sti', 2398]","['ntr', 1999]"
"['mis', 1911]","['por', 2025]","['par', 2394]","['ada', 1993]"
"['_wo', 1910]","['ure', 2010]","['iss', 2388]","['_ti', 1991]"
"['por', 1904]","['_pe', 2000]","['so_', 2383]","['den', 1990]"
"['ill', 1892]","['cti', 1997]","['ico', 2372]","['ari', 1989]"
"['_ca', 1885]","['ir_', 1994]","['rat', 2348]","['tos', 1966]"
"['cti', 1884]","['int', 1988]","['_ma', 2348]","['ido', 1966]"
"['int', 1880]","['ces', 1956]","['uro', 2343]","['_ca', 1963]"
"['ust', 1780]","['mmi', 1950]","['se_', 2337]","['emo', 1921]"
"['pea', 1718]","['enc', 1948]","['_st', 2332]","['_s_', 1905]"
"['ry_', 1711]","['out', 1943]","['tic', 2318]","['ide', 1900]"
"['ted', 1692]","['ues', 1936]","['tta', 2289]","['sid', 1880]"
"['_se', 1691]","['son', 1905]","['nta', 2236]","['ier', 1865]"
"['ble', 1666]","['_av', 1895]","['omm', 2233]","['ect', 1858]"
"['ity', 1664]","['aut', 1889]","['nor', 2224]","['esp', 1840]"
"['The', 1636]","['_mo', 1882]","['una', 2198]","['ero', 1839]"
"['tiv', 1620]","['app', 1880]","['ore', 2188]","['_or', 1838]"
"['ean', 1615]","['onc', 1879]","['ten', 2186]","['tan', 1800]"
"['_so', 1596]","['qu', 1876]","['it_', 2166]","['ndo', 1797]"
"['rat', 1575]","['ren', 1874]","['ide', 2164]","['esi', 1794]"
"['ame', 1568]","['ten', 1872]","['col', 2144]","['ale', 1774]"
"['_ne', 1558]","['lit', 1870]","['nel', 2137]","['nos', 1773]"
"['nte', 1549]","['_pl', 1864]","['eri', 2119]","['rio', 1773]"
"['str', 1539]","['ouv', 1861]","['tan', 2114]","['esa', 1755]"
"['_su', 1538]","['tou', 1851]","['ca_', 2099]","['eci', 1752]"
"['tic', 1529]","['ide', 1850]","['_an', 2082]","['ca_', 1742]"
"['_ex', 1529]","['pos', 1848]","['sto', 2081]","['_ta', 1716]"
"['_di', 1528]","['ut_', 1836]","['nza', 2079]","['sti', 1715]"
"['_mo', 1526]","['ère', 1834]","['amo', 2060]","['orm', 1714]"
"['ies', 1507]","['_to', 1830]","['_i_', 2047]","['ona', 1706]"
"['ers', 1501]","['tte', 1823]","['qua', 2033]","['tro', 1688]"
"['est', 1488]","['ive', 1759]","['ist', 2030]","['ble', 1682]"
"['sta', 1484]","['pré', 1749]","['ste', 2021]","['_ma', 1680]"
"['one', 1473]","['onn', 1747]","['_me', 2016]","['ran', 1675]"
"['ure', 1461]","['sti', 1746]","['oli', 2010]","['tam', 1653]"
"['sid', 1461]","['mes', 1740]","['Com', 2003]","['_tr', 1634]"
"['wil', 1458]","['ain', 1736]","['int', 1994]","['ist', 1633]"
"['ore', 1452]","['ett', 1727]","['_mo', 1974]","['mbi', 1627]"
"['_sh', 1437]","['ens', 1721]","['vol', 1964]","['ont', 1625]"
"['_en', 1431]","['end', 1714]","['tro', 1952]","['_ac', 1621]"
"['rt_', 1428]","['ect', 1707]","['utt', 1943]","['ir_', 1618]"
"['der', 1422]","['ar_', 1699]","['lit', 1943]","['ma_', 1609]"
"['ur_', 1418]","['és_', 1690]","['ori', 1937]","['sto', 1594]"
"['oun', 1410]","['Com', 1686]","['ver', 1928]","['bre', 1593]"
"['den', 1404]","['ble', 1683]","['tar', 1902]","['ene', 1590]"
"['nal', 1397]","['urs', 1682]","['cor', 1896]","['ha_', 1586]"
"['tin', 1390]","['_ne', 1646]","['ope', 1890]","['mie', 1583]"
"['sti', 1376]","['aux', 1626]","['anc', 1890]","['for', 1580]"
"['eme', 1370]","['opé', 1614]","['bil', 1887]","['ere', 1579]"
"['ke_', 1369]","['tat', 1583]","['ire', 1875]","['gra', 1576]"
"['pre', 1361]","['art', 1579]","['al_', 1861]","['_te', 1575]"
"['_li', 1353]","['tan', 1578]","['era', 1818]","['ope', 1572]"
"['tat', 1336]","['_eu', 1568]","['_mi', 1806]","['end', 1570]"
"['ay_', 1335]","['anc', 1555]","['tor', 1800]","['_Es', 1563]"
"['pos', 1318]","['fai', 1547]","['end', 1799]","['ros', 1561]"
"['_do', 1314]","['uve', 1546]","['ons', 1796]","['_to', 1556]"
"['act', 1306]","['ieu', 1532]","['gra', 1791]","['deb', 1556]"
"['ove', 1301]","['ser', 1530]","['olt', 1786]","['das', 1540]"
"['hou', 1297]","['ins', 1509]","['sen', 1782]","['_pu', 1520]"
"['tra', 1290]","['nsi', 1502]","['rit', 1779]","['ese', 1518]"
"['ple', 1286]","['lus', 1501]","['ran', 1776]","['amb', 1504]"
"['so_', 1285]","['mai', 1478]","['ci_', 1767]","['_ex', 1456]"
"['end', 1283]","['rat', 1474]","['den', 1752]","['der', 1440]"
"['enc', 1277]","['ran', 1469]","['me_', 1751]","['_as', 1436]"
"['ial', 1268]","['_a_', 1465]","['_fa', 1747]","['ina', 1429]"
"['has', 1258]","['ess', 1462]","['da_', 1746]","['tes', 1411]"
"['_pa', 1258]","['ie_', 1462]","['iti', 1728]","['ora', 1366]"
"['_ac', 1255]","['_te', 1454]","['ssa', 1726]","['ria', 1362]"
"['ain', 1255]","['pée', 1443]","['izi', 1723]","['art', 1356]"
"['by_', 1255]","['tai', 1435]","['sid', 1716]","['sar', 1343]"
"['_ou', 1254]","['pri', 1432]","['ric', 1708]","['spe', 1330]"
"['_wa', 1254]","['éen', 1430]","['ora', 1703]","['iva', 1329]"
"['par', 1242]","['ièr', 1416]","['gio', 1696]","['ece', 1316]"
"['ese', 1241]","['_je', 1413]","['ese', 1691]","['omo', 1313]"
"['nti', 1235]","['nts', 1407]","['_tr', 1685]","['co_', 1308]"
"['ern', 1234]","['plu', 1407]","['der', 1682]","['edi', 1305]"
"['per', 1227]","['_fo', 1406]","['ndo', 1675]","['Eur', 1304]"
"['_by', 1227]","['den', 1398]","['zia', 1675]","['_Eu', 1304]"
"['_Mr', 1216]","['_ra', 1395]","['ito', 1668]","['int', 1295]"
"['ant', 1204]","['ise', 1383]","['ili', 1664]","['lam', 1294]"
"['ica', 1204]","['ée_', 1377]","['sse', 1663]","['so_', 1288]"
"['_me', 1186]","['sse', 1375]","['rio', 1659]","['nal', 1286]"
"['abl', 1182]","['rit', 1369]","['ris', 1657]","['ita', 1278]"
"['arl', 1175]","['ern', 1357]","['ort', 1651]","['cto', 1276]"
"['esi', 1174]","['nti', 1352]","['ntr', 1626]","['_nu', 1274]"
"['_ta', 1158]","['sid', 1352]","['por', 1625]","['ura', 1270]"
"['lit', 1154]","['vou', 1347]","['dei', 1621]","['egu', 1268]"
"['ear', 1151]","['ier', 1333]","['ser', 1619]","['lar', 1243]"
"['ome', 1151]","['je_', 1331]","['chi', 1604]","['_mu', 1240]"
"['cou', 1147]","['_ca', 1331]","['ond', 1595]","['_Pr', 1235]"
"['als', 1147]","['tiq', 1321]","['eur', 1585]","['cho', 1231]"
"['_Pr', 1140]","['sen', 1313]","['pri', 1583]","['_m_', 1229]"
"['_im', 1139]","['nta', 1300]","['ura', 1577]","['ea_', 1228]"
"['ne_', 1137]","['_ex', 1293]","['ina', 1568]","['ser', 1220]"
"['hin', 1135]","['_il', 1288]","['_eu', 1568]","['ren', 1207]"
"['art', 1130]","['ven', 1285]","['_ci', 1565]","['amo', 1203]"
"['_fi', 1129]","['_ch', 1283]","['ini', 1562]","['emp', 1200]"
"['imp', 1128]","['oit', 1282]","['ata', 1527]","['_ap', 1197]"
"['eas', 1127]","['in_', 1282]","['va_', 1519]","['ces', 1195]"
"['ss_', 1124]","['tes', 1265]","['nzi', 1519]","['cue', 1192]"
"['ntr', 1121]","['ési', 1264]","['tri', 1515]","['ort', 1186]"
"['_le', 1118]","['ave', 1258]","['ita', 1508]","['ali', 1185]"
"['_bu', 1114]","['sou', 1255]","['_ca', 1501]","['obr', 1185]"
"['ake', 1112]","['si_', 1253]","['ann', 1496]","['rac', 1184]"
"['ic_', 1105]","['_si', 1253]","['sul', 1493]","['nue', 1174]"
"['een', 1104]","['and', 1251]","['ano', 1489]","['tod', 1163]"
"['nci', 1104]","['l', 1246]","['_te', 1487]","['_Se', 1162]"
"['_mu', 1103]","['cet', 1235]","['tut', 1482]","['ico', 1161]"
"['tur', 1102]","['gra', 1227]","['_do', 1478]","['fic', 1152]"
"['und', 1099]","['str', 1226]","['and', 1468]","['pon', 1152]"
"['ces', 1089]","['es', 1217]","['art', 1467]","['eri', 1149]"
"['tan', 1084]","['ite', 1217]","['ndi', 1459]","['mpl', 1147]"
"['us_', 1079]","['for', 1213]","['ria', 1455]","['va_', 1144]"
"['_at', 1073]","['enn', 1210]","['_ha', 1451]","['ol_', 1143]"
"['ct_', 1070]","['tiv', 1202]","['nal', 1432]","['rta', 1142]"
"['rec', 1067]","['un', 1193]","['evo', 1429]","['ebe', 1142]"
"['nts', 1066]","['uti', 1193]","['dis', 1416]","['dic', 1130]"
"['ar_', 1066]","['ond', 1190]","['ome', 1414]","['iza', 1128]"
"['_sa', 1064]","['ine', 1188]","['fic', 1411]","['and', 1124]"
"['_yo', 1059]","['nde', 1183]","['imp', 1405]","['unt', 1118]"
"['out', 1059]","['cer', 1179]","['_gi', 1390]","['sob', 1117]"
"['you', 1059]","['sit', 1168]","['ona', 1389]","['me_', 1113]"
"['_fr', 1054]","['l', 1162]","['anz', 1389]","['eo_', 1112]"
"['rit', 1044]","['_ta', 1157]","['app', 1387]","['arl', 1112]"
"['anc', 1042]","['rta', 1152]","['rev', 1386]","['imp', 1107]"
"['sho', 1041]","['nse', 1149]","['nch', 1386]","['ati', 1103]"
"['_fa', 1038]","['ron', 1147]","['ggi', 1386]","['Est', 1101]"
"['lia', 1029]","['_sa', 1145]","['co_', 1381]","['tal', 1096]"
"['reg', 1027]","['d', 1141]","['_pi', 1376]","['le_', 1095]"
"['ber', 1026]","['rti', 1138]","['_im', 1375]","['rma', 1092]"
"['nit', 1026]","['rt_', 1136]","['oss', 1372]","['odo', 1090]"
"['cal', 1024]","['voi', 1122]","['tal', 1371]","['ial', 1089]"
"['nde', 1023]","['ver', 1115]","['iva', 1367]","['omp', 1086]"
"['Mr_', 1023]","['ers', 1103]","['rre', 1363]","['sen', 1085]"
"['ow_', 1022]","['ois', 1102]","['sar', 1353]","['ade', 1084]"
"['lat', 1021]","['rap', 1099]","['gno', 1352]","['qui', 1084]"
"['oli', 1015]","['abl', 1099]","['son', 1342]","['reg', 1079]"
"['wou', 1011]","['uel', 1094]","['arl', 1339]","['su_', 1076]"
"['cia', 1005]","['ali', 1094]","['for', 1338]","['mpo', 1070]"
"['_un', 1005]","['eux', 1094]","['ren', 1331]","['pa_', 1059]"
"['mpl', 1005]","['_ét', 1091]","['spe', 1319]","['ios', 1059]"
"['lic', 1004]","['oir', 1091]","['rta', 1314]","['ust', 1056]"
"['spe', 1003]","['don', 1087]","['mi_', 1313]","['_an', 1050]"
"['inc', 1000]","['dre', 1082]","['ien', 1309]","['_im', 1050]"
"['ona', 997]","['ses', 1080]","['zza', 1305]","['cie', 1050]"
"['ste', 996]","['che', 1070]","['po_', 1294]","['dec', 1049]"
"['ist', 992]","['nes', 1067]","['ate', 1293]","['ner', 1048]"
"['_Pa', 992]","['rem', 1064]","['sa_', 1285]","['Pre', 1035]"
"['use', 986]","['_ac', 1054]","['sso', 1284]","['inc', 1032]"
"['app', 981]","['tie', 1052]","['ual', 1274]","['ema', 1029]"
"['eed', 977]","['pre', 1051]","['iar', 1272]","['cer', 1029]"
"['ren', 965]","['era', 1038]","['nsi', 1254]","['rla', 1027]"
"['lly', 964]","['oli', 1034]","['dal', 1253]","['Se_', 1023]"
"['ds_', 961]","['ist', 1032]","['fin', 1253]","['ace', 1021]"
"['mbe', 955]","['d', 1027]","['pi_', 1247]","['_Pa', 1019]"
"['sed', 948]","['nst', 1027]","['rla', 1247]","['anc', 1016]"
"['eco', 946]","['man', 1024]","['opo', 1246]","['ni_', 1013]"
"['_pe', 946]","['pe_', 1023]","['_tu', 1242]","['_ci', 1009]"
"['_or', 941]","['_Je', 1021]","['tre', 1236]","['_fi', 1009]"
"['era', 940]","['imp', 1020]","['ela', 1235]","['lic', 1006]"
"['but', 934]","['von', 1019]","['tte', 1228]","['cas', 1003]"
"['pol', 934]","['Je_', 1017]","['sia', 1223]","['ili', 998]"
"['tte', 928]","['ppo', 1012]","['ass', 1222]","['cul', 997]"
"['Pre', 927]","['d', 1009]","['ici', 1217]","['lid', 997]"
"['ral', 925]","['omp', 1008]","['_Pr', 1216]","['_mo', 990]"
"['ini', 920]","['rme', 1007]","['erc', 1214]","['tas', 990]"
"['eat', 920]","['_on', 1007]","['ppo', 1212]","['go_', 970]"
"['can', 914]","['_n', 997]","['uni', 1208]","['uer', 969]"
"['ont', 910]","['ili', 995]","['cia', 1204]","['nda', 967]"
"['ina', 904]","['égi', 993]","['ich', 1201]","['ras', 967]"
"['nat', 902]","['arl', 993]","['nno', 1199]","['én_', 965]"
"['gra', 902]","['emb', 987]","['orr', 1192]","['pos', 964]"
"['han', 900]","['ute', 987]","['ine', 1185]","['tor', 958]"
"['rep', 899]","['avo', 986]","['mpo', 1183]","['ién', 958]"
"['ref', 899]","['rie', 985]","['lam', 1183]","['abl', 949]"
"['wor', 896]","['ve_', 984]","['pol', 1177]","['tur', 948]"
"['igh', 895]","['_Le', 984]","['olo', 1176]","['_fu', 946]"
"['egi', 893]","['sie', 983]","['ve_', 1169]","['ral', 942]"
"['ten', 892]","['ris', 980]","['ive', 1165]","['mer', 936]"
"['min', 887]","['fin', 977]","['sol', 1163]","['uci', 934]"
"['nio', 880]","['ill', 974]","['ltr', 1159]","['_ve', 926]"
"['tho', 878]","['bre', 972]","['ole', 1154]","['Par', 921]"
"['om_', 874]","['pol', 969]","['_vo', 1152]","['mas', 919]"
"['cy_', 874]","['leu', 957]","['tur', 1150]","['pol', 904]"
"['_We', 873]","['_Pa', 956]","['nda', 1150]","['rar', 902]"
"['rli', 873]","['san', 950]","['raz', 1145]","['pec', 902]"
"['_ag', 872]","['ra_', 946]","['nde', 1144]","['gun', 894]"
"['rom', 871]","['per', 942]","['_fo', 1137]","['bié', 891]"
"['ard', 870]","['rle', 942]","['isc', 1137]","['ini', 890]"
"['nta', 866]","['ées', 941]","['orm', 1135]","['ram', 888]"
"['man', 866]","['ava', 938]","['dir', 1135]","['uda', 888]"
"['et_', 865]","['act', 937]","['ene', 1134]","['seg', 887]"
"['ous', 862]","['age', 937]","['ign', 1130]","['ech', 883]"
"['omp', 859]","['ame', 931]","['_fi', 1126]","['ivo', 878]"
"['ran', 859]","['ssa', 926]","['_ve', 1118]","['pri', 875]"
"['_si', 858]","['ert', 917]","['acc', 1111]","['ho_', 874]"
"['tri', 857]","['ste', 916]","['_pu', 1103]","['ued', 873]"
"['lso', 853]","['orm', 903]","['_lo', 1101]","['rat', 868]"
"['nst', 851]","['dis', 903]","['rti', 1097]","['eco', 868]"
"['de_', 845]","['éri', 903]","['nos', 1096]","['_Un', 862]"
"['ou_', 845]","['dev', 901]","['uto', 1093]","['man', 860]"
"['_tr', 844]","['_Pr', 900]","['llo', 1091]","['_ne', 859]"
"['rin', 842]","['teu', 898]","['ero', 1080]","['egi', 856]"
"['ght', 839]","['sem', 896]","['ior', 1078]","['nde', 855]"
"['_la', 838]","['oin', 896]","['ime', 1077]","['iem', 853]"
"['We_', 834]","['tur', 889]","['rog', 1076]","['imi', 850]"
"['nsi', 833]","['ès_', 888]","['onc', 1070]","['rea', 849]"
"['mus', 832]","['cha', 883]","['_vi', 1063]","['nse', 848]"
"['ind', 829]","['rte', 880]","['_ta', 1063]","['_La', 845]"
"['ee_', 825]","['jou', 874]","['ern', 1057]","['_em', 844]"
"['ner', 824]","['nom', 872]","['spo', 1057]","['ede', 839]"
"['hes', 823]","['dem', 872]","['ven', 1056]","['jo_', 838]"
"['onc', 822]","['_gr', 870]","['bia', 1049]","['uen', 838]"
"['iam', 821]","['ge_', 862]","['min', 1049]","['llo', 838]"
"['Par', 820]","['rec', 862]","['alt', 1047]","['pli', 837]"
"['rou', 820]","['_No', 861]","['cos', 1045]","['_ad', 835]"
"['ine', 818]","['isa', 860]","['egi', 1042]","['cci', 833]"
"['rta', 816]","['Par', 860]","['_ra', 1039]","['_cr', 832]"
"['din', 815]","['_mi', 850]","['ea_', 1038]","['dem', 831]"
"['ues', 812]","['mpl', 850]","['lio', 1036]","['ber', 830]"
"['ge_', 810]","['tés', 849]","['ha_', 1031]","['cti', 829]"
"['ose', 809]","['ori', 844]","['ebb', 1025]","['Con', 826]"
"['ven', 809]","['itu', 842]","['Pre', 1024]","['cos', 820]"
"['emb', 807]","['mon', 840]","['tit', 1023]","['rad', 819]"
"['ise', 807]","['_vi', 835]","['rim', 1019]","['ore', 819]"
"['lea', 805]","['_s', 834]","['ola', 1019]","['ond', 818]"
